Customer_ID,Age,Gender,Annual_Income,Education,Location_Type,Account_Age_Days,Membership_Type,Payment_Method,Total_Purchases,Total_Amount_Spent,Avg_Order_Value,Days_Since_Last_Purchase,Purchase_Frequency,Visits_Per_Month,Time_Per_Visit_Minutes,Product_Views_Per_Visit,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Contacts,Satisfaction_Score,NPS,Referrals,Loyalty_Points,Complaints,Favorite_Category,Num_Categories_Shopped,Discount_Usage_Rate,Returns_Rate,Churn_Risk_Score,Churned
CUST0001,47,Male,68822,High School,Urban,62,Premium,PayPal,9,448.82,49.87,61,4.35,5.7,8.3,8,64.0,35.6,3,4.9,,0,613,0,Sports,3,37.6,28.7,73.4,1
CUST0002,37,Male,46578,Bachelor,Suburban,838,VIP,Credit Card,83,12676.65,152.73,48,2.97,0.9,13.8,7,64.3,45.1,2,6.4,23.0,1,1317,1,Electronics,1,21.1,16.7,59.3,1
CUST0003,49,Female,81128,Bachelor,Urban,300,Basic,Debit Card,18,1293.56,71.86,23,1.8,13.0,8.0,6,26.3,59.1,4,5.0,-6.0,0,153,1,Books,1,66.5,10.3,44.3,0
CUST0004,62,Female,113217,High School,Urban,251,Premium,Credit Card,21,3989.94,190.0,13,2.51,4.7,4.7,8,61.8,51.9,1,2.9,-27.0,0,1019,1,Beauty,2,27.2,14.2,55.8,1
CUST0005,36,Male,28062,High School,Urban,45,Basic,Credit Card,4,113.48,28.37,174,2.67,14.5,5.3,7,72.9,52.1,1,5.6,36.0,1,658,1,Sports,3,55.5,17.5,80.6,1
CUST0006,36,Female,57915,Master,Suburban,419,Premium,Credit Card,33,3289.43,99.68,71,2.36,7.0,1.0,7,71.1,,1,4.9,-19.0,0,331,1,Sports,4,27.8,2.6,50.2,1
CUST0007,63,Male,91858,High School,Urban,809,VIP,Debit Card,82,7251.82,88.44,16,3.04,9.3,3.2,6,59.9,56.5,4,7.0,57.0,1,611,1,Sports,2,15.4,20.8,62.5,1
CUST0008,51,Female,89210,Bachelor,Urban,704,Basic,Bank Transfer,11,679.68,61.79,84,0.47,1.9,1.0,4,60.8,44.8,3,4.8,-5.0,0,326,0,Books,5,39.7,14.0,34.8,0
CUST0009,32,Female,52508,Master,Urban,393,Basic,Credit Card,10,800.88,80.09,64,0.76,13.7,2.3,9,59.6,46.5,3,5.2,19.0,0,611,0,Home & Garden,1,33.9,15.7,56.0,1
CUST0010,48,Female,63630,High School,Suburban,31,Basic,Credit Card,7,757.87,108.27,15,6.77,38.4,5.0,11,56.8,68.7,1,9.8,100.0,1,352,1,Beauty,5,31.2,39.8,60.4,1
CUST0011,33,Female,46274,High School,Urban,47,Premium,PayPal,0,0.0,0.0,25,0.0,6.2,6.3,5,25.2,29.7,3,4.0,-20.0,0,0,1,Books,4,42.0,3.8,59.6,1
CUST0012,33,Female,39120,Bachelor,Suburban,30,Premium,Credit Card,0,0.0,0.0,9,0.0,9.1,7.3,9,36.5,52.7,0,7.2,45.0,2,0,1,Clothing,2,21.0,27.3,50.5,1
CUST0013,43,Male,83600,Bachelor,Suburban,119,Basic,PayPal,0,0.0,0.0,5,0.0,10.0,16.8,6,30.6,32.9,1,6.8,47.0,4,0,1,Home & Garden,2,58.6,15.6,49.5,0
CUST0014,18,Female,23030,Bachelor,Suburban,58,Basic,PayPal,10,465.21,46.52,57,5.17,2.6,1.3,4,65.1,35.5,1,5.3,-11.0,0,143,0,Books,2,16.3,15.8,58.9,1
CUST0015,18,Male,51228,Master,Rural,120,Basic,Bank Transfer,12,1456.13,121.34,14,3.0,3.3,2.2,5,63.0,26.9,4,6.9,,0,457,0,Clothing,2,43.3,18.9,37.5,0
CUST0016,31,Female,46630,High School,Urban,194,Premium,Debit Card,8,1355.19,169.4,77,1.24,12.3,6.1,12,51.6,36.1,2,8.6,100.0,1,502,1,Electronics,3,57.0,29.3,50.2,1
CUST0017,24,Female,23964,Bachelor,Urban,1145,Premium,Debit Card,77,9748.67,126.61,244,2.02,4.3,8.8,10,71.7,24.7,4,8.3,84.0,1,1550,0,Clothing,3,5.3,5.0,46.6,0
CUST0018,44,Female,46284,Bachelor,Rural,377,Basic,Debit Card,9,445.36,49.48,3,0.72,7.0,2.9,4,81.3,72.3,2,4.7,10.0,0,784,1,Beauty,4,46.2,5.2,58.1,1
CUST0019,26,Male,20000,High School,Suburban,720,Premium,Debit Card,51,2127.15,41.71,28,2.12,9.3,5.7,10,56.1,18.7,3,5.5,7.0,0,0,2,Sports,3,15.7,28.5,66.3,1
